section,name,alias,type,default,units,dependencies
,MiniGridSystemTotalDiscountedCost,mg_tot_d,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedDemand,mg_dem_d,AGGREGATE,0,kilowatt-hours,
,MiniGridSystemTotalInitialCost,mg_tot_i,AGGREGATE,0,dollars,
,MiniGridSystemTotalDiscountedRecurringCost,mg_tot_drc,AGGREGATE,0,dollars,
,MiniGridSystemTotalLevelizedCost,mg_tot_lev,OTHER,,dollars per kilowatt-hour,MiniGridSystemTotalDiscountedCost;MiniGridSystemTotalDiscountedDemand
,GridSystemTotal,g_ct,AGGREGATE,0,count,
,GridSystemTotalDiscountedDemand,gr_dem_d,AGGREGATE,0,kilowatt-hours,
,GridSystemTotalExternalInitialCost,gr_tot_ext_ic,AGGREGATE,0,dollars,
,GridSystemTotalExternalDiscountedRecurringCost,gr_tot_ext_drc,AGGREGATE,0,dollars,
,GridSystemTotalDiscountedCost,gr_tot_d,AGGREGATE,0,dollars,
,GridSystemTotalLevelizedCost,gr_tot_lev,OTHER,,dollars per kilowatt-hour,GridSystemTotalDiscountedCost;GridSystemTotalDiscountedDemand
,GridSystemTotalInternalInitialCost,gr_tot_iic,AGGREGATE,0,dollars,
,GridSystemTotalInternalDiscountedRecurringCost,gr_tot_idrc,AGGREGATE,0,dollars,finance.DiscountedCashFlowFactor
,GridSystemTotalInitialCost,gr_tot_init,SINGLE_STMT_SIMPLE,,dollars,GridSystemTotalExternalInitialCost;GridSystemTotalInternalInitialCost
,GridSystemTotalDiscountedRecurringCost,gr_tot_drc,OTHER,,dollars,GridSystemTotalExternalDiscountedRecurringCost;GridSystemTotalInternalDiscountedRecurringCost
,GridSystemTotalExistingNetworkLength,gr_tot_enl,SINGLE_STMT_OTHER,,meters,
,GridSystemTotalProposedNetworkLength,gr_tot_pnl,SINGLE_STMT_OTHER,,meters,
demographics,demographics.PopulationCount,pop,LEAF_VAR,0,person count,
demographics,demographics.RuralPopulationGrowthRatePerYear,pop_g_r,LEAF_VAR,0.015,fraction per year,
demographics,demographics.UrbanPopulationGrowthRatePerYear,pop_g_u,LEAF_VAR,0.036,fraction per year,
demographics,demographics.RuralMeanHouseholdSize,ho_size_r,LEAF_VAR,9.6,person count,
demographics,demographics.UrbanMeanHouseholdSize,ho_size_u,LEAF_VAR,7.5,person count,
demographics,demographics.UrbanPopulationThreshold,u_pop_thre,LEAF_VAR,5000,person count,
demographics,demographics.MeanInterhouseholdDistance,mid,LEAF_VAR,25,meters,
demographics,demographics.ProjectedPopulationCounts,p_pops,OTHER,,person count list,demographics.PopulationCount;demographics.RuralPopulationGrowthRatePerYear;demographics.UrbanPopulationGrowthRatePerYear;demographics.UrbanPopulationThreshold;finance.TimeHorizon
demographics,demographics.ProjectedPopulationCount,p_pop,SINGLE_STMT_OTHER,,person count,demographics.ProjectedPopulationCounts
demographics,demographics.IsRural,rural,SINGLE_STMT_OTHER,,binary,demographics.ProjectedPopulationCount;demographics.UrbanPopulationThreshold
demographics,demographics.MeanHouseholdSize,ho_size,SINGLE_STMT_OTHER,,person count,demographics.IsRural;demographics.RuralMeanHouseholdSize;demographics.UrbanMeanHouseholdSize
demographics,demographics.ProjectedHouseholdCount,p_ho,SINGLE_STMT_OTHER,,households,demographics.MeanHouseholdSize;demographics.ProjectedPopulationCount
costGrid,costGrid.DistributionLoss,gr_loss,LEAF_VAR,0.15,fraction,
costGrid,costGrid.GridElectricityCostPerKilowattHour,gr_el_ckwh,LEAF_VAR,0.17,dollars per kilowatt-hour,
costGrid,costGrid.GridTransformerAvailableSystemCapacities,gr_tr_cps,LEAF_VAR,1000 900 800 700 600 500 400 300 200 100 90 80 70 60 50 40 30 20 15 5,kilowatts list,
costGrid,costGrid.GridTransformerCostPerGridSystemKilowatt,gr_tr_ckw,LEAF_VAR,1000,dollars per kilowatt,
costGrid,costGrid.GridTransformerLifetime,gr_tr_life,LEAF_VAR,10,years,
costGrid,costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost,gr_tr_omf,LEAF_VAR,0.03,,
costGrid,costGrid.GridInstallationCostPerConnection,gr_i_cc,LEAF_VAR,130,dollars per connection,
costGrid,costGrid.GridMediumVoltageLineCostPerMeter,gr_ml_cm,LEAF_VAR,20,dollars per meter,
costGrid,costGrid.GridMediumVoltageLineLifetime,gr_ml_life,LEAF_VAR,30,years,
costGrid,costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost,gr_ml_omf,LEAF_VAR,0.01,,
costGrid,costGrid.GridSocialInfrastructureCount,gr_so,SINGLE_STMT_SIMPLE,,facility count,demand.ProjectedCommercialFacilityCount;demand.ProjectedEducationFacilityCount;demand.ProjectedHealthFacilityCount;demand.ProjectedPublicLightingFacilityCount
costGrid,costGrid.GridInternalConnectionCount,gr_ic,SINGLE_STMT_SIMPLE,,connection count,costGrid.GridSocialInfrastructureCount;demand.TargetHouseholdCount
costGrid,costGrid.GridTransformerDesiredSystemCapacity,gr_tr_dcp,SINGLE_STMT_OTHER,,kilowatts,costGrid.DistributionLoss;demand.ProjectedPeakNodalDemand
costGrid,costGrid.GridTransformerActualSystemCapacityCounts,gr_tr_acps,SINGLE_STMT_OTHER,,capacity count list,costGrid.GridTransformerAvailableSystemCapacities;costGrid.GridTransformerDesiredSystemCapacity
costGrid,costGrid.GridTransformerActualSystemCapacity,gr_tr_acp,SINGLE_STMT_OTHER,,kilowatts,costGrid.GridTransformerActualSystemCapacityCounts;costGrid.GridTransformerAvailableSystemCapacities
costGrid,costGrid.GridInstallationCost,gr_i,SINGLE_STMT_SIMPLE,,dollars,costGrid.GridInstallationCostPerConnection;costGrid.GridInternalConnectionCount
costGrid,costGrid.LowVoltageLineEquipmentCost,gr_le,SINGLE_STMT_SIMPLE,,dollars,costDistribution.LowVoltageLineEquipmentCostPerConnection;costGrid.GridInternalConnectionCount
costGrid,costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,gr_le_om,SINGLE_STMT_SIMPLE,,dollars per year,costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;costGrid.LowVoltageLineEquipmentCost
costGrid,costGrid.GridTransformerCost,gr_tr,SINGLE_STMT_SIMPLE,,dollars,costGrid.GridTransformerActualSystemCapacity;costGrid.GridTransformerCostPerGridSystemKilowatt
costGrid,costGrid.GridTransformerOperationsAndMaintenanceCostPerYear,gr_tr_om,SINGLE_STMT_SIMPLE,,dollars per year,costGrid.GridTransformerCost;costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost
costGrid,costGrid.GridTransformerReplacementCostPerYear,gr_tr_rep,SINGLE_STMT_OTHER,,dollars per year,costGrid.GridTransformerCost;costGrid.GridTransformerLifetime
costGrid,costGrid.GridElectricityCostPerYear,gr_el,SINGLE_STMT_OTHER,,dollars per year,costGrid.DistributionLoss;costGrid.GridElectricityCostPerKilowattHour;demand.ProjectedNodalDemandPerYear
costGrid,costGrid.GridInternalSystemInitialCost,gi_ini,SINGLE_STMT_OTHER,,dollars,costDistribution.LowVoltageLineInitialCost;costGrid.GridInstallationCost;costGrid.GridTransformerCost;costGrid.LowVoltageLineEquipmentCost
costGrid,costGrid.GridInternalSystemRecurringCostPerYear,gi_rec,SINGLE_STMT_OTHER,,dollars per year,costDistribution.LowVoltageLineRecurringCostPerYear;costGrid.GridElectricityCostPerYear;costGrid.GridTransformerOperationsAndMaintenanceCostPerYear;costGrid.GridTransformerReplacementCostPerYear;costGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear
costGrid,costGrid.GridInternalSystemNodalDiscountedCost,gi_nod_d,OTHER,,dollars,costGrid.GridInternalSystemInitialCost;costGrid.GridInternalSystemRecurringCostPerYear;demand.ProjectedNodalDemandPerYear;finance.DiscountedCashFlowFactor
costGrid,costGrid.GridInternalSystemNodalLevelizedCost,gi_nod_lev,OTHER,,dollars per kilowatt-hour,costGrid.GridInternalSystemNodalDiscountedCost;demand.ProjectedNodalDiscountedDemand
costGrid,costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear,gr_ml_omm,SINGLE_STMT_SIMPLE,,dollars per meter per year,costGrid.GridMediumVoltageLineCostPerMeter;costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerYearAsFractionOfLineCost
costGrid,costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear,gr_ml_repm,SINGLE_STMT_OTHER,,dollars per meter per year,costGrid.GridMediumVoltageLineCostPerMeter;costGrid.GridMediumVoltageLineLifetime
costGrid,costGrid.GridExternalSystemInitialCostPerMeter,ge_inim,SINGLE_STMT_SIMPLE,,dollars per meter,costGrid.GridMediumVoltageLineCostPerMeter
costGrid,costGrid.GridExternalSystemRecurringCostPerMeterPerYear,ge_recm,SINGLE_STMT_SIMPLE,,dollars per meter per year,costGrid.GridMediumVoltageLineOperationsAndMaintenanceCostPerMeterPerYear;costGrid.GridMediumVoltageLineReplacementCostPerMeterPerYear
costGrid,costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter,ge_nodm_drcpm,SINGLE_STMT_SIMPLE,,dollars per meter,costGrid.GridExternalSystemRecurringCostPerMeterPerYear;finance.DiscountedCashFlowFactor
costGrid,costGrid.GridExternalSystemNodalDiscountedCostPerMeter,ge_nodm_d,SINGLE_STMT_SIMPLE,,dollars per meter,costGrid.GridExternalSystemInitialCostPerMeter;costGrid.GridExternalSystemNodalDiscountedRecurringCostPerMeter
